queue_average_reward;passed_cars_reward;pressure_reward;waiting_time_reward;noiseEmission_reward;COEmission_reward;CO2Emission_reward;fuel_reward;occupancy_reward;reward
2;0;-11;0.74;6.722530389;795.9854854;10271.75585;4.415804796;0.040409483;14.4158048
-2;1;-6;0.45;12.35375039;105.2933804;9993.577624;4.295734081;0.05200361;-2.704265919
-2;0;-4;-0.01;12.09847243;-79.00171338;11134.60303;4.786118282;0.028815356;-5.213881718
1;-1;-3;-0.2;-3.146004886;15.34030353;700.8617718;0.30126321;0.026939655;2.30126321
-2;-3;-7;-0.32;-0.950494937;-187.5015787;-3547.560382;-1.525015255;-0.021536328;-20.52501525
1;-1;-9;-0.35;47.97991311;-259.3329044;-11583.93932;-4.979451515;-0.005403327;-2.979451515
0;-2;-14;-0.35;-1.068866588;-56.814611;-2174.836516;-0.934853269;-0.040409483;-6.934853269
4;2;-9;1.21;-0.563924032;736.580892;10187.48074;4.379503956;0.040409483;30.37950396
2;4;-3;0.67;-40.99110446;261.7437149;13024.65734;5.59867734;0.026939655;27.59867734
-2;1;-1;-0.07;-18.48009393;47.29188182;-7531.494361;-3.237263262;0.013469828;-10.23726326
-1;-4;-6;-0.15;6.494696655;-127.7110339;4999.080135;2.148694629;-0.013469828;-14.85130537
-3;-2;-10;-0.26;8.777174145;-364.141294;-3729.060313;-1.603155438;-0.026939655;-22.60315544
1;1;-9;-0.3;48.74473211;-73.29137404;-6676.897547;-2.870024667;2.78E-17;5.129975333
-2;-2;-12;-0.37;5.840738834;-111.0188132;2917.411771;1.25391794;-0.013469828;-14.74608206
-2;2;-10;-0.45;-51.8470423;-277.8302033;536.592497;0.230483637;0;-3.769516363
0;0;-11;-0.49;-12.62678199;-122.0195436;-9976.39979;-4.288416532;-0.013469828;-4.288416532
9;0;-10;1.05;-10.6495993;442.5688671;4979.032555;2.140538008;0.012017245;47.14053801
-3;5;-2;0.84;4.815817093;750.8516455;10534.38033;4.52866874;0.032394018;4.52866874
-1;-1;-1;0.05;75.69841074;-199.9433621;6819.802965;2.931288746;0.033959337;-5.068711254
-1;-3;-7;-0.25;-70.61684781;-780.4385275;-20078.53716;-8.631146117;-0.0462258;-22.63114612
1;-2;-11;-0.25;-6.813841849;82.47437415;-5730.306089;-2.463081317;-0.018674972;-3.463081317
-3;-1;-12;-0.35;13.41202821;296.3187697;12071.83691;5.189185538;0;-12.81081446
-1;3;-7;-0.42;68.76314314;-167.4964843;9612.178189;4.131630595;0.026939655;8.131630595
-1;-1;-9;-0.45;-58.30353468;-426.9755599;-10132.72216;-4.35578515;-0.013469828;-12.35578515
1;-1;-13;-0.45;-17.85559693;-278.9015205;-12821.30971;-5.511330872;-0.040409483;-3.511330872
7;1;-10;1.29;2.304004661;973.7607938;12256.47639;5.268991111;0.026939655;43.26899111
0;4;-4;0.67;63.80226207;-39.05261226;324.0104098;0.13925729;0.025040815;12.13925729
0;-2;-5;0.27;1.377844362;403.7465134;7354.576974;3.161615484;0.014611178;-2.838384516
-3;-1;-6;-0.14;-51.68590802;-150.2659482;3497.914433;1.503429498;-0.006226305;-16.4965705
0;0;-8;-0.2;-21.48970888;-651.2425948;-18251.99132;-7.845915762;-0.019955861;-7.845915762
-1;1;-8;-0.23;-11.02750452;-10.28542966;-11158.39641;-4.796389432;-0.013469828;-6.796389432
-1;0;-9;-0.26;11.48174646;23.26358887;12662.38288;5.44286568;-0.013469828;0.44286568
0;-1;-11;-0.34;58.64724535;18.01275208;-3988.974364;-1.714612949;-0.013469828;-4.714612949
-3;-2;-15;-0.41;3.033699433;-117.0484832;3068.831814;1.319058747;-0.026939655;-19.68094125
7;2;-10;0.92;-2.293069204;124.4533521;-1482.967176;-0.637384766;0.040409483;40.36261523
1;4;-3;0.47;-58.18364939;519.4614352;5178.224151;2.226182883;0.040409483;19.22618288
-3;1;0;0.06;67.53009453;122.2246518;10379.21187;4.46149881;0.026939655;-7.53850119
-1;-4;-6;-0.15;-52.19068243;-368.4445314;-3455.645012;-1.485631322;-0.026939655;-18.48563132
-1;-3;-12;-0.29;-26.17563301;-366.944116;-18991.01557;-8.163411716;-0.047497821;-22.16341172
1;2;-10;-0.3;-0.142769635;-98.61129924;-4338.212415;-1.864775401;0.007088339;9.135224599
-2;-2;-13;-0.39;13.12512354;205.2801823;17812.71273;7.656751535;-0.013491969;-8.343248465
-1;3;-9;-0.43;-7.168919474;-270.8455603;-13202.1253;-5.675022051;0.013491969;-1.675022051
-1;-2;-12;-0.46;18.35151413;-16.02834283;14906.25655;6.407356672;-0.013469828;-4.592643328
7;1;-9;1.01;-10.35840169;443.0430077;324.6311824;0.139831478;0.023990031;38.13983148
0;3;-3;0.75;12.53701161;771.3333043;13609.51925;5.85049819;0.043359107;14.85049819
-1;1;0;0.27;6.362302647;-127.7433477;2778.628505;1.194312692;0.026939655;-0.805687308
0;-3;-3;-0.2;49.70821921;-305.4746349;-5434.670158;-2.336270597;0;-11.3362706
0;-2;-6;-0.2;-68.4779941;-113.8177221;-11421.32492;-4.909500208;-0.013469828;-10.90950021
-1;-1;-9;-0.2;1.060308612;-132.4571921;92.558967;0.03967697;-0.026939655;-7.96032303
-1;1;-8;-0.25;63.79413402;4.148492082;-1279.797966;-0.550050848;0;-2.550050848
0;0;-9;-0.28;-59.05155534;-0.067473612;3489.408413;1.499889266;-0.013469828;1.499889266
-2;0;-10;-0.35;8.776407487;-119.7052027;7021.961356;3.018269928;-0.013469828;-6.981730072
5;1;-8;1.43;-22.37743135;315.5447153;-6235.546198;-2.680100647;0.013469828;25.31989935
-1;2;-6;0.14;-2.878037617;-65.6507608;-7153.15422;-3.074795609;-2.78E-17;-2.074795609
-2;0;-6;-0.11;14.4120172;15.75560042;11967.20687;5.144044361;-0.00197989;-4.855955639
-1;-2;-9;-0.33;-11.07739715;-339.2464094;-16610.17246;-7.140018533;-0.011489938;-18.14001853
-1;-1;-10;-0.37;9.556528258;-60.05219578;8967.348265;3.85455628;0;-4.14544372
-1;0;-9;-0.45;57.76821188;-9.89949546;-3904.557836;-1.678339725;0.013469828;-6.678339725
0;1;-9;-0.45;69.17316714;-304.8515054;2690.75398;1.156362275;-0.013469828;4.156362275
-2;-3;-14;-0.49;0.813776195;-22.49954973;-522.9579227;-0.2247985;-0.026939655;-19.2247985
-3;0;-17;-0.58;-68.77524343;-422.3336479;-9462.957751;-4.067890877;-0.040409483;-19.06789088
10;2;-12;1.2;2.742899029;837.5873226;12024.44234;5.169144034;0.040409483;61.16914403
2;4;-6;1.19;11.56302071;187.5476988;-8190.44004;-3.520444394;0.026939655;18.47955561
1;0;-5;0.49;-75.78308207;506.8865484;10216.54837;4.391847628;0.013469828;9.391847628
0;-2;-6;0.06;5.064631207;17.35819047;6016.49305;2.586190593;0.013469828;-3.413809407
-2;2;-2;-0.07;9.666886601;168.8277502;13493.45936;5.800202507;0.026939655;1.800202507
0;0;0;-0.11;-12.8519621;-237.4119689;-14644.58738;-6.295034297;0.026939655;-6.295034297
